คำศัพท์,ความหมาย,ตัวอย่างประโยค
occupation (n),อาชีพ,He gave up his occupation as a farmer and became a teacher.
offering (n),ของถวาย (ทางศาสนา),They made sacrificial offerings to the gods.
operation (n),"การดำเนินการ, การผ่าตัด",The authorities launched a massive security operation in the city.
optimistic (adj),โดยคาดหวังสิ่งที่ดี,He remained strongly optimistic that an agreement could be reached.
omit (v),ละเลยไป,"If you are a student, you can omit questions 16–18."
oxygen (n),ออกซิเจน,There was a risk the brain might be starved of oxygen.
originate (v),"เริ่มต้นขึ้น, กำเนิดขึ้น",The disease is thought to have originated in the tropics.
participate (v),เข้าร่วม,Her family and friends were invited to participate in the ceremony.
perplex (v),งุนงง,They were perplexed by her response.
pedestrian (n),"คนเดินเท้า, คนเดินถนน",The purpose of the project is to improve pedestrian safety.
permit (v),อนุญาต,The owners have been unwilling to permit the use of their land.
perform (v),ปฏิบัติหน้าที่,A computer can perform many tasks at once.
perceive (v),รับรู้,She perceived that all was not well within the organization.
pitch (n),สนามแข่งขัน,He was the best player on the pitch today.
physicist (n),นักฟิสิกส์,It was coined by a physicist called Hugh Everett in the ’50s.
platform (n),"ชานชาลา,เวที",The next train to depart from platform 2 is the 10.30 for London Paddington.
pleasure (n),ความปิติยินดี,He takes no pleasure in his work.
plod (v),เดินก้าวเท้าหนักๆ,Our horses plodded down the muddy track.
plunder (v),ขโมย,The abbey had been plundered of its valuables.
prescribe (v),สั่งจ่ายยา,He may be able to prescribe you something for that cough.
preserve (v),"ทำให้คงอยู่, ถนอมอาหาร",She managed to preserve her sense of humour under very trying circumstances.
preservative (n),"วัตถุกันเสีย, สารกันเสีย",The juice contains no artificial preservatives.
prevail (v),มีอำนาจเหนือ,The Act requires the will of the Commons ultimately to prevail over that of the upper house.
principle (n),หลักปฏิบัติ,She went on to explain the principles behind what she was doing.
private sector (n),ภาคเอกชน,He’s been working the private sector for years.
probe (v),"พิสูจน์, ตรวจสอบ",A police probe into the financial affairs of the company.
products (n),ผลิตภัณฑ์,The company sells its products around the world.
proficiency (adj),"ชำนาญ, ช่ำชอง",She’s proficient in several languages.
proceed (v),ดำเนินการ,I will instruct my lawyer to proceed with the preparation of draft contracts.
profit-making (n),การสร้างผลกำไร,"I believe that public transport should be run as a service, not as a profit-making enterprise."
prohibit (v),ห้าม,The policy prohibits smoking on school grounds.
procedure (n),ขั้นตอน,The school in this case did not follow the correct procedure.
propose (v),เสนอ,The government proposed changes to the voting system.
polish (n),"การขัดเกลา, ความเงางาม",She played the cello with the polish of a much older musician.
poll (n),การสำรวจความคิดเห็นจากคนจำนวนมาก,The poll asked voters what was the most important moral issue that affected their vote.
postpone (v),เลื่อนออกไป,They have agreed to postpone repayment of the loan to a future unspecified date.
politics (n),การเมือง,He abandoned politics and went into business.
psychologist,นักจิตวิทยา,I made an appointment with the school psychologist.
questionnaire (n),แบบสอบถาม,Most of the people who responded to the questionnaire were supportive.
qualify (v),มีคุณสมบัติ,He qualified as a doctor last year.
quote (v),"อ้างอิง, ยกคำพูด, คัดลอกจาก",The President was quoted in the press as saying that he disagreed with the decision.
queer (adj),แปลกประหลาด,She had a queer feeling that she was being watched.
realistic (adj),"ซึ่งปฏิบัติได้จริง, ซึ่งสมเหตุสมผล","If you want to retain good employees, you have to pay a realistic salary."
rebel (n),"ผู้ก่อกบฏ, คนขัดขืน",The southern parts of the country had fallen into rebel control.
refine (v),กลั่น,China has eight factories that refine the ore.
restriction (n),"การจำกัด, การห้าม, ข้อห้าม",Citizens of the EU can travel without restriction within the EU.
restrict (v),"จำกัด, ห้าม",We restrict the number of students per class to ten.
rectify (v),แก้ไขให้ถูก,"There were some errors in the report, but these were easy to rectify."
recreation (n),"สันทนาการ, นันทนาการ",The writer attempts a recreation of the sights and sounds of his childhood.
recruit (n),สมาชิกใหม่,Their business schools provide recruits for domestic industry.
recede (v),ถดถอย,She watched his receding figure.
response (n),การตอบสนอง,I knocked on the door but there was no response.
recycle (v),นำกลับมาใช้อีก,The bottles were being recycled into a lower-quality product.
regression (n),ความถดถอย,He began to show signs of regression to his childhood.
regulate (v),ควบคุม,The activities of credit companies are regulated by law.
regardless (adv.),"โดยไม่คำนึงถึง,",The weather was terrible but we carried on regardless.
release (v),"ปลดปล่อย, ออกวางจำหน่าย",The hostages were released unharmed.
relieve (v),บรรเทา,They try to relieve the symptoms of depression by drinking.
reliable (adj),น่าเชื่อถือ,We are looking for someone who is reliable and hard-working.
repel,ขับไล่,I was repelled by the smell.
researcher (n),นักวิจัย,Researchers found there was no evidence of an increased risk of infection.
revolution (n),การปฏิวัติ,The country appears to be on the brink of revolution.
ripe (adj),"สุก, เจริญเต็มที่",Some of the apples were not quite ripe.
rodent (n),สัตว์พวกหนู,There’s a rodent on the table.
rowboat (n),เรือพาย,I’d like to take it easy riding in a rowboat – just the two of us.
rot (v),เน่าเปื่อย,Food was being left to rot in warehouses.
satisfy (v),"ทำให้พอใจ, ตอบสนองความต้องการ",The proposed plan will not satisfy everyone.
secretary (n),เลขานุการ,Please contact my secretary to make an appointment.
settle,"ตั้งรกราก, เข้ามาอาศัยอยู่",She settled in Vienna after her father’s death.
site (n),"สถานที่, ที่ตั้ง",The government has announced the proposed site for the airport.
slander (n),คำพูดให้ร้าย,Many teachers saw the statement as a gross slander on their profession.
shipment (n),การส่งสินค้า,The goods are ready for shipment.
signify (v),มีความหมาย,The white belt signifies that he’s an absolute beginner.
soil (n),ดิน,She dug the compost into the soil.
stimulate (v),กระตุ้น,The article can be used to stimulate discussion among students.
statistic (n),"สถิติ,ข้อมูล,ข้อเท็จจริงเป็นตัวเลข",She thinks that the official unemployment statistics are not accurate.
statistical (adj),ซึ่งเป็นสถิติ,The statistical likelihood that our plan will succeed is less than 4.3%.
stadium (n),สนามกีฬา,Thousands packed into the stadium to watch the final.
startle (v),"ตกใจ, สะดุ้ง",She was startled into a little cry of surprise.
restrain (v),"ยับยั้ง, ควบคุม",The prisoner had to be restrained by the police.
specialist (n),ผู้ชำนาญเฉพาะทาง,This is the view of virtually all independent specialists on the region.
special offer (n),ข้อเสนอพิเศษ,French wine is on special offer this week.
sponsor (n),"ผู้อุปถัมภ์, ผู้ส่งเสริม",The Barbados Tourism Authority is the main sponsor of the event.
spring up (phrv),"ปรากฏ, โผล่ขึ้นมา, กระโดดขึ้น",Opposition groups are springing up like mushrooms.
spirit (n),"วิญญาณ, จิตใจ",It is a testimony to the triumph of the human spirit.
spectacular (adj),น่าตื่นเต้น,"Their performance was good, if not spectacular."
squash (v),เบียดเสียด,"There were dozens of us in the room, squashed together like sardines."
sufficiently (adv),อย่างเพียงพอ,The following day she felt sufficiently well to go to work.
submission (n),"การยอม,การจำนน,การยอมแพ้","His response was one of resistance, not submission."
submerge (v),จุ่มลงในน้ำ,The fields had been submerged by floodwater.
supervision (n),การดูแลตรวจตรา,The drug should only be used under medical supervision.
supervise (v),"ตรวจตรา, ดูแล",She supervised the children playing near the pool.
supplement (n),ส่วนเพิ่มเติม,The farmer adds a supplement to the horse’s feed.
survey (n),การสำรวจ,A recent survey showed 75 per cent of those questioned were in favour of the plan.
subway (n),รถไฟใต้ดิน,I’ve never been on the subway.
suspend (v),"เลื่อน, ยกเลิกชั่วคราว",Production has been suspended while safety checks are carried out.
synagogue (n),โบสถ์ของศาสนายิว,They went to synagogue every Saturday.
sympathise (v),เห็นอกเห็นใจ,I can really sympathize with what she’s going through.
soar,"พุ่งสูง, ทะยาน",Air pollution will soon soar above safety levels.
solar panels (n),แผงเซลล์แสงอาทิตย์,"We installed solar panels, and we’re hoping to raise our own cattle this year."
smuggle (v),ลักลอบนำเข้า,He managed to smuggle a gun into the prison.
terminate (v),สิ้นสุด,Your contract of employment terminates in December.
temporary (adj),ชั่วคราว,They had to move into temporary accommodation.
tranquil (adj),สงบสุข,The town looked tranquil in the evening sunlight.
transform (v),"เปลี่ยนรูปร่าง, เปลี่ยนแปลง",The photochemical reactions transform the light into electrical impulses.
trainee (n),ผู้ได้รับการฝึกหัด,Many companies recruit graduate trainees to train as managers.
training (n),การอบรม,The company failed to provide adequate training for staff.
tricky (adj),"ยาก, มีเล่ห์เหลี่ยม",It was a very tricky rescue operation as it was a really severe storm.
underline (v),เน้นความสำคัญ,The report underlined that the project enjoyed considerable support in both countries.
underground (adj),"ที่อยู่ใต้ดิน, ที่อยู่ชั้นใต้ดิน",They carried out a series of underground nuclear tests.
urban (adj),"เกี่ยวกับเมือง, เป็นลักษณะของเมือง",People of earlier generations who had not grown up in an urban setting.
urbanite (n),"ชาวเมือง, คนเมือง",What’s a dazzling urbanite like you doing in a rustic setting like this?
variety (n),ประเภท ชนิด หรือลักษณะ,There is a wide variety of patterns to choose from
vantage point (n),ฐานะหรือตำแหน่งซึ่งได้เปรียบ,"From the vantage point of the present, the war seems to have achieved nothing."
vaccinate (v),ฉีดวัคซีน,I was vaccinated against tetanus.
vent (n),"ช่องลม, ช่องระบายอากาศ, ท่อแอร์",The air vents were not soundproof.
visual arts (n),ทัศนศิลป์,"Skilled in writing and in the arts, especially in visual arts."
violate (v),"ฝ่าฝืน, ละเมิด",The peace of the island community had been brutally violated.
volunteer (n),อาสาสมัคร,She does volunteer work at an orphanage.
voluntary (adj),โดยสมัครใจ,Attendance on the course is purely voluntary.
waive (v),สละสิทธิ์,We have decided to waive the tuition fees in your case.
wind tunnel (n),อุโมงค์ลม,They’ve proven in the wind tunnel that it does.
withhold,"ระงับ, ไม่อนุมัติ",The government was threatening to withhold future financial aid.
wreckage (n),ซากปรักหักพัง,A few survivors were pulled from the wreckage.
well-being (n),ความเป็นอยู่ดี,We try to ensure the well-being of our employees.
